area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name
Super built-up  Area,Ready To Move,rachenahalli,2 BHK,Paentta,1200,2,2,50,Yelahanka Zone
Plot  Area,Ready To Move,kadabagere,4 Bedroom,,1200,4,2,86,Dasarahalli Zone
Plot  Area,Ready To Move,1st block hbr layout,5 Bedroom,,2500,6,3,500,Unknown
Super built-up  Area,Ready To Move,yelahanka,2 BHK,PuziaVe,1322,2,2,80,Yelahanka Zone
Super built-up  Area,19-Dec,whitefield,3 BHK,Goted U,2173,3,2,128,Mahadevapura Zone
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,AbiewLa,1200,2,2,75,Bommanahalli Zone
Super built-up  Area,Ready To Move,thubarahalli,2 BHK,,1200,2,2,47,Mahadevapura Zone
Super built-up  Area,Ready To Move,mysore road,2 BHK,,1170,2,2,65,Rajarajeshwari Nagar Zone
Super built-up  Area,17-Dec,nri layout,2 BHK,,1125,2,2,45.56,Mahadevapura Zone
Super built-up  Area,18-May,devanahalli,1 BHK,Sabixtt,655 - 742,1,0,28.57,Outside BBMP Zones
Super built-up  Area,Ready To Move,seetharampalya,2 BHK,ArierPr,1250,2,2,90,Mahadevapura Zone
Super built-up  Area,19-Dec,chandapura,2 BHK,SuVue S,1025,2,2,27.68,Outside BBMP Zones
Super built-up  Area,Ready To Move,yelahanka,3 BHK,,1075,2,2,36,Yelahanka Zone
Super built-up  Area,Ready To Move,high grounds,3 BHK,,1900,2,2,190,Unknown
Built-up  Area,Ready To Move,whitefield,3 BHK,JahanSa,1435,3,2,45,Mahadevapura Zone
Super built-up  Area,18-Dec,electronics city phase 1,2 BHK,Shitt S,1175,2,2,64.98,Unknown
Super built-up  Area,Ready To Move,kudlu main road,3 BHK,,1464,3,2,56,Bommanahalli Zone
Built-up  Area,Ready To Move,doddabidrakallu,2 BHK,Lants A,900,2,1,33,Dasarahalli Zone
Super built-up  Area,Ready To Move,electronics city phase 1,1 BHK,,585,1,1,21,Unknown
Plot  Area,Ready To Move,jigani,4 Bedroom,Prllasw,3170,5,2,230,Outside BBMP Zones
Super built-up  Area,18-May,shanti nagar,3 BHK,UbreeAn,1602,2,1,170,East Zone
Super built-up  Area,Ready To Move,thanisandra,2 BHK,MenueNo,1220,2,2,42,Yelahanka Zone
Super built-up  Area,Ready To Move,rajaji nagar,3 BHK,PhestOn,2500,3,3,350,West Zone
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Adeatlm,2145,3,3,180,Bommanahalli Zone
Super built-up  Area,Ready To Move,bannerghatta road,2 BHK,SNity S,960,2,3,58,South Zone
Super built-up  Area,Ready To Move,ngr layout,1 BHK,DSestre,907,1,1,38,Bommanahalli Zone
Super built-up  Area,Ready To Move,old madras road,2 BHK,Brglede,1210,2,1,74,East Zone
Plot  Area,Ready To Move,kammanahalli,4 Bedroom,,900,4,1,150,East Zone
Super built-up  Area,Ready To Move,jnana ganga nagar,2 BHK,SLestde,1230,2,2,70,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,5th phase jp nagar,3 BHK,MBaleRo,1350,2,1,75,Unknown
Super built-up  Area,Ready To Move,kenchenahalli,2 BHK,Unateit,1150,2,2,58,Rajarajeshwari Nagar Zone
Super built-up  Area,19-Apr,sarjapur,3 BHK,CLdiaAr,1404,2,0,53.35,Outside BBMP Zones
Super built-up  Area,Ready To Move,ombr layout,2 BHK,,1050,2,3,48,East Zone
Plot  Area,Ready To Move,kothanur,8 Bedroom,,1020,10,0,155,Yelahanka Zone
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Hotat H,1285,2,2,56,Yelahanka Zone
Super built-up  Area,Ready To Move,hormavu,2 BHK,ARureig,1018,2,1,50.8,Mahadevapura Zone
Plot  Area,Ready To Move,hoskote,3 Bedroom,,1200,3,2,57,Outside BBMP Zones
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,,1115,2,2,50,Bommanahalli Zone
Super built-up  Area,Ready To Move,ejipura,3 BHK,DSidsrc,1600,3,3,95,East Zone
Super built-up  Area,21-Sep,9th phase jp nagar,2 BHK,Vasisvi,1480,2,1,80,Unknown
Built-up  Area,Ready To Move,kodichikkanahalli,5 Bedroom,,2500,7,0,125,Bommanahalli Zone
Built-up  Area,Ready To Move,kaval byrasandra,1 BHK,,480,1,1,25,East Zone
Super built-up  Area,Ready To Move,akshaya nagar,3 BHK,Madgeer,1435,3,3,53,Bommanahalli Zone
Built-up  Area,Ready To Move,lingarajapuram,1 BHK,,450,1,2,60,East Zone
Super built-up  Area,Ready To Move,austin town,1 BHK,,600,2,0,23,East Zone
Super built-up  Area,Ready To Move,cv raman nagar,3 BHK,Chhamku,1590,2,3,85,East Zone
Plot  Area,Immediate Possession,hoskote,,SJowsn,800 - 2660,,,28.545,Outside BBMP Zones
Built-up  Area,Ready To Move,nagavara,2 BHK,,936,2,0,40.2,Yelahanka Zone
Super built-up  Area,Ready To Move,banashankari,2 BHK,,1181,2,1,75,South Zone
Super built-up  Area,18-Apr,kengeri,3 BHK,Liwerun,1741,3,2,80,Rajarajeshwari Nagar Zone
Super built-up  Area,19-Dec,jp nagar,3 BHK,Shestut,1750,3,1,123,South Zone
Super built-up  Area,Ready To Move,varthur road,2 BHK,,1050,2,2,42.7,Mahadevapura Zone
Super built-up  Area,17-Dec,tumkur road,2 BHK,Sahtsva,1027,2,1,60,Dasarahalli Zone
Built-up  Area,Ready To Move,geleyara balaga layout,2 BHK,Jahtsa,596,2,1,22,West Zone
Built-up  Area,Ready To Move,dollar scheme colony,4 BHK,Vacesi,3463,6,0,310,South Zone
Built-up  Area,Ready To Move,sector 2 hsr layout,3 BHK,,1600,3,2,70,Unknown
Super built-up  Area,19-Mar,hebbal,4 BHK,Raard B,2790,5,3,198,Yelahanka Zone
Super built-up  Area,Ready To Move,sahakara nagar,2 BHK,ArrdsOr,1000,2,1,60,Yelahanka Zone
Super built-up  Area,18-Apr,varthur,2 BHK,Muistry,1120,2,2,44.24,Mahadevapura Zone
Plot  Area,Ready To Move,jinkethimmanahalli,2 Bedroom,,1200,2,0,85,Outside BBMP Zones
Super built-up  Area,18-Jun,kothnoor dinne,2 BHK,,1200,2,2,35,South Zone
Super built-up  Area,Ready To Move,kasturi nagar,3 BHK,GoratAr,1570,3,2,110,East Zone
Super built-up  Area,Ready To Move,koramangala,3 BHK,Ansna K,1500,3,1,135,East Zone
Built-up  Area,Ready To Move,frazer town,2 BHK,Elrisnt,1315,2,2,140,East Zone
Super built-up  Area,18-Apr,electronic city phase ii,2 BHK,Sryalan,1140,2,1,33.84,Bommanahalli Zone
Super built-up  Area,Ready To Move,banashankari,2 BHK,Goeesem,1105,2,2,90,South Zone
Built-up  Area,18-Dec,electronic city,2 BHK,,1200,2,1,34.65,Bommanahalli Zone
Super built-up  Area,18-Dec,whitefield,1 BHK,Prtates,905,1,1,62,Mahadevapura Zone
Plot  Area,Ready To Move,hsr layout,4 Bedroom,,2400,4,0,350,Bommanahalli Zone
Super built-up  Area,Ready To Move,kudlu gate,2 BHK,SReafin,1185,2,1,50,Bommanahalli Zone
Super built-up  Area,Ready To Move,koramangala,2 BHK,,1083,2,1,100,East Zone
Super built-up  Area,Ready To Move,rayasandra,3 BHK,Amlisai,1458,3,2,60,Bommanahalli Zone
Super built-up  Area,Ready To Move,hormavu,3 BHK,Undraro,1555,3,2,75,Mahadevapura Zone
Built-up  Area,Ready To Move,devi nagar,2 BHK,Deiten,1200,2,2,45,Yelahanka Zone
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,SJityaz,1308,2,1,58.86,Bommanahalli Zone
Super built-up  Area,Ready To Move,kudlu,2 BHK,Srrnasa,1024,2,2,44,Bommanahalli Zone
Super built-up  Area,Ready To Move,parappana agrahara,2 BHK,Peide L,1194,2,2,47,Bommanahalli Zone
Super built-up  Area,Ready To Move,kanakapura,3 BHK,,1450,3,1,75,South Zone
Super built-up  Area,Ready To Move,seegehalli,3 BHK,Niowshi,1639,3,3,120,Mahadevapura Zone
Super built-up  Area,19-Jun,whitefield,3 BHK,VaiteEx,1870,3,2,138,Mahadevapura Zone
Super built-up  Area,18-Oct,hennur road,2 BHK,Puachal,1232,2,1,87,Yelahanka Zone
Super built-up  Area,Ready To Move,kasavanhalli,3 BHK,Salisal,1719,3,1,184,Mahadevapura Zone
Super built-up  Area,18-May,chandapura,2 BHK,SunceEs,975,2,1,24.86,Outside BBMP Zones
Super built-up  Area,Ready To Move,new gurappana palya,3 BHK,,2000,4,,130,East Zone
Super built-up  Area,Ready To Move,jakkur,2 BHK,BrdgeNo,1230,2,1,79,Yelahanka Zone
Plot  Area,Ready To Move,guddadahalli,4 Bedroom,,1350,4,2,140,West Zone
Super built-up  Area,Ready To Move,kr puram,2 BHK,,1076,2,2,67,Mahadevapura Zone
Built-up  Area,Ready To Move,kumaraswami layout,7 Bedroom,,2400,7,1,125,South Zone
Super built-up  Area,Ready To Move,vasanthpura,3 BHK,,995,2,2,34.82,South Zone
Super built-up  Area,Ready To Move,kodigehaali,3 BHK,Leeno S,2120,3,2,177,Yelahanka Zone
Plot  Area,Ready To Move,kasthuri nagar east of ngef,6 Bedroom,,2400,7,,460,Unknown
Plot  Area,Ready To Move,chikka gowdanapalya.,6 Bedroom,,850,6,2,78,Unknown
Super built-up  Area,Ready To Move,electronic city,2 BHK,SraveSL,1096,2,2,40.55,Bommanahalli Zone
Super built-up  Area,Ready To Move,horamavu agara,2 BHK,Maows M,1107.83,2,1,41.51,Mahadevapura Zone
Built-up  Area,Ready To Move,chamrajpet,1 BHK,,505,1,0,85,West Zone
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,Adeatlm,1320,2,2,115,Bommanahalli Zone
Super built-up  Area,19-Mar,8th phase jp nagar,3 BHK,Vaarech,1408 - 1455,3,0,72.02,Unknown
Super built-up  Area,18-Feb,whitefield,2 BHK,BrlisCo,1320,2,1,99.26,Mahadevapura Zone
Super built-up  Area,Ready To Move,whitefield,3 BHK,Haestt,2901,4,2,190,Mahadevapura Zone
Built-up  Area,Ready To Move,gm palaya,3 BHK,Scsta V,1315,2,2,65,East Zone
Super built-up  Area,Ready To Move,vgp layout,2 BHK,Manha M,1000,2,1,44,Outside BBMP Zones
Super built-up  Area,Ready To Move,hosakerehalli,3 BHK,APncyla,1596,3,3,79.8,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,bannerghatta road,3 BHK,Hiate F,1750,3,,130,South Zone
Plot  Area,Ready To Move,whitefield,4 Bedroom,Prrry M,2403,4,2,270,Mahadevapura Zone
Super built-up  Area,20-Dec,old madras road,3 BHK,Shmes O,1350,3,2,47.25,East Zone
Super built-up  Area,Ready To Move,old madras road,4 BHK,Saciatt,4050 - 4075,,,341,East Zone
Super built-up  Area,18-Jul,tr mill road chamarajpet,2 BHK,,1175,2,2,79,South Zone
Super built-up  Area,Ready To Move,talaghattapura,2 BHK,,921,2,1,29.47,South Zone
Built-up  Area,Ready To Move,malleshwaram,4 Bedroom,,4000,4,2,1100,West Zone
Super built-up  Area,Ready To Move,sultan palaya,3 BHK,Vaaldak,1713,3,3,125,Yelahanka Zone
Built-up  Area,Ready To Move,ittamadu,2 BHK,Arnts A,1200,2,0,43,South Zone
Built-up  Area,Ready To Move,8th phase jp nagar,3 Bedroom,,1900,4,1,90,Unknown
Super built-up  Area,Ready To Move,kudlu gate,3 BHK,,1664,3,2,68,Bommanahalli Zone
Super built-up  Area,19-Dec,binny pete,3 BHK,She 2rk,1795,3,2,139,West Zone
Built-up  Area,Ready To Move,kereguddadahalli,1 BHK,Inave R,600,1,1,19.5,Dasarahalli Zone
Built-up  Area,Ready To Move,hoodi,2 BHK,,1240,2,3,65,Mahadevapura Zone
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,SoitaCa,1965,4,2,132,Yelahanka Zone
Plot  Area,Ready To Move,vishveshwarya layout,3 Bedroom,,600,4,0,99,Rajarajeshwari Nagar Zone
Plot  Area,Ready To Move,sarjapur,4 Bedroom,,4111,4,1,370,Outside BBMP Zones
Super built-up  Area,19-Dec,electronics city phase 1,2 BHK,Shitt S,1200,2,2,59.76,Unknown
Super built-up  Area,Ready To Move,ganga nagar,2 BHK,,1112,2,3,68,Outside BBMP Zones
Built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,,3000,3,2,60,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,mahadevpura,2 BHK,,1136,2,3,64.5,Mahadevapura Zone
Super built-up  Area,Ready To Move,jigani,2 BHK,DLhtsan,914,2,2,55,Outside BBMP Zones
Super built-up  Area,Ready To Move,poorna pragna layout,3 BHK,,1270,2,1,50.79,Outside BBMP Zones
Super built-up  Area,Ready To Move,rachenahalli,2 BHK,,1050,2,2,47.25,Yelahanka Zone
Super built-up  Area,Ready To Move,marathahalli,3 BHK,,1385,2,2,68.5,Mahadevapura Zone
Super built-up  Area,Ready To Move,medahalli,2 BHK,,990,2,3,35,Mahadevapura Zone
Built-up  Area,Ready To Move,yelahanka,2 BHK,,845,2,2,43,Yelahanka Zone
Super built-up  Area,20-Sep,whitefield,2 BHK,Goted U,1485,2,1,96.51,Mahadevapura Zone
Super built-up  Area,Ready To Move,kanakapura,3 BHK,SPavenc,1460,2,3,43.79,South Zone
Super built-up  Area,Ready To Move,thanisandra,2 BHK,TNrdet,1450,2,1,57,Yelahanka Zone
Built-up  Area,Ready To Move,hsr layout,3 BHK,B ncysi,1360,2,1,53,Bommanahalli Zone
Built-up  Area,Ready To Move,singasandra,2 BHK,,1375,2,3,58,Bommanahalli Zone
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,Aklia R,1125,2,1,48,South Zone
Super built-up  Area,Ready To Move,banashankari,1 BHK,,720,1,1,60,South Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Brnia G,1460,2,2,100,Unknown
Built-up  Area,Ready To Move,green view layout,2 BHK,Makeser,1107,2,2,40,Outside BBMP Zones
Built-up  Area,Ready To Move,maruthi nagar,2 BHK,,1158,2,3,75,Outside BBMP Zones
Super built-up  Area,Ready To Move,yelachenahalli,2 BHK,,800,1,1,30,South Zone
Plot  Area,Ready To Move,sector 2 hsr layout,9 Bedroom,NCdgerj,600,9,,90,Unknown
Super built-up  Area,Ready To Move,bhoganhalli,3 BHK,Pride S,1760,3,2,128,Mahadevapura Zone
Plot  Area,Ready To Move,nandi hills,4 Bedroom,,3200,4,2,200,Outside BBMP Zones
Plot  Area,17-Dec,hal 2nd stage,2 Bedroom,,600,3,2,145,Unknown
Built-up  Area,Ready To Move,tc palaya,3 Bedroom,,1350,3,1,60,Mahadevapura Zone
Plot  Area,Ready To Move,giri nagar,6 Bedroom,,600,6,3,100,South Zone
Built-up  Area,18-Dec,huskur,2 BHK,,1125,2,1,32.49,Bommanahalli Zone
Super built-up  Area,Ready To Move,frazer town,3 BHK,,1706,3,3,154,East Zone
Super built-up  Area,Ready To Move,btm layout,3 BHK,PancyPr,1600,3,2,112,Bommanahalli Zone
Super built-up  Area,Ready To Move,ramesh nagar,2 BHK,,1200,2,0,90,West Zone
Super built-up  Area,Ready To Move,whitefield,3 BHK,Gotis A,1755,3,3,101,Mahadevapura Zone
Super built-up  Area,Ready To Move,hulimavu,2 BHK,Chtali,1200,2,1,50,Bommanahalli Zone
Super built-up  Area,Ready To Move,beml layout,2 BHK,,1200,2,2,67,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,chokkanahalli,2 BHK,GrhtiSr,1266.67,2,0,69,Yelahanka Zone
Super built-up  Area,Ready To Move,kariyammana agrahara,3 BHK,,1800,3,2,90,Mahadevapura Zone
Plot  Area,Ready To Move,sector 7 hsr layout,3 Bedroom,,1200,4,1,275,Unknown
Super built-up  Area,22-Dec,2nd phase judicial layout,3 BHK,,1300,3,2,64,Unknown
Plot  Area,Ready To Move,nirman layout,3 Bedroom,,800,3,3,60,Unknown
Plot  Area,Ready To Move,whitefield,4 Bedroom,Pronege,4800,5,2,550,Mahadevapura Zone
Super built-up  Area,18-May,mysore road,2 BHK,Brama P,942 - 1117,2,0,50.855,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,GrrvaGr,1128,2,2,40,Rajarajeshwari Nagar Zone
Plot  Area,Ready To Move,ns palya,2 Bedroom,,2000,2,1,160,Bommanahalli Zone
Super built-up  Area,18-Mar,panathur,2 BHK,,1210,2,1,80,Mahadevapura Zone
Super built-up  Area,18-Jul,arekere,4 BHK,RRnumn,2710,6,2,142,Bommanahalli Zone
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,GrrvaGr,1151,2,2,39,Rajarajeshwari Nagar Zone
Super built-up  Area,19-Jan,rajaji nagar,5 BHK,,7500,8,3,1700,West Zone
Super built-up  Area,Ready To Move,hosur main road,3 BHK,,1464,3,2,56,Bommanahalli Zone
Super built-up  Area,Ready To Move,electronic city,2 BHK,SriewGr,1017,2,2,27,Bommanahalli Zone
Built-up  Area,Ready To Move,sarjapur road,2 BHK,Srncy R,920,2,1,40,Bommanahalli Zone
Plot  Area,Ready To Move,hrbr layout,4 Bedroom,,1200,3,1,180,East Zone
Plot  Area,Ready To Move,nyanappana halli,5 Bedroom,,1000,5,2,140,Bommanahalli Zone
Super built-up  Area,Ready To Move,munnekollal,3 BHK,DSalehn,1750,3,3,86.5,Mahadevapura Zone
Built-up  Area,Ready To Move,dasanapura,2 BHK,Tavenew,1163,2,1,65,Dasarahalli Zone
Super built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Brnia G,1650,3,3,110,Unknown
Super built-up  Area,Ready To Move,kundalahalli colony,3 BHK,Goourta,1800,3,3,95,Mahadevapura Zone
Super built-up  Area,Ready To Move,cv raman nagar,2 BHK,RatraNa,1100,2,1,58,East Zone
Built-up  Area,Ready To Move,r.t. nagar,2 BHK,,1200,2,2,60,Yelahanka Zone
Super built-up  Area,Ready To Move,ganga nagar,3 BHK,PSdenGa,1410,3,2,65,Outside BBMP Zones
Super built-up  Area,19-Jun,begur road,3 BHK,,1933,3,2,98,Bommanahalli Zone
Super built-up  Area,Ready To Move,begur road,2 BHK,Dhalsh,1200,2,2,45.6,Bommanahalli Zone
Super built-up  Area,Ready To Move,whitefield,3 BHK,BMttaor,1608,2,3,63,Mahadevapura Zone
Plot  Area,Ready To Move,jakkasandra extension,4 Bedroom,,2679,5,2,280,East Zone
Super built-up  Area,Ready To Move,horamavu banaswadi,2 BHK,,1156,2,2,46.9,Mahadevapura Zone
Plot  Area,18-Mar,t.c palya,2 Bedroom,,1230,2,0,75,Mahadevapura Zone
Super built-up  Area,Ready To Move,kasavanhalli,1 BHK,Srire S,770,1,1,43.82,Mahadevapura Zone
Super built-up  Area,Ready To Move,ardendale,3 BHK,SoystAm,1777.26,3,2,105,Outside BBMP Zones
Super built-up  Area,Ready To Move,kanakpura road,2 BHK,PuandHi,1339,2,2,85,South Zone
Built-up  Area,18-Mar,sarjapur road,3 Bedroom,,3044,3,2,183,Bommanahalli Zone
Built-up  Area,Ready To Move,chennappa layout,2 BHK,Mawerer,1080,2,2,44.8,Outside BBMP Zones
Carpet  Area,Ready To Move,doddabommasandra,8 Bedroom,,3150,5,2,145,Yelahanka Zone
Plot  Area,Ready To Move,nagadevanahalli,2 Bedroom,,2400,2,2,135,Rajarajeshwari Nagar Zone
Built-up  Area,Ready To Move,hulimavu,3 BHK,Srise P,1450,3,3,72,Bommanahalli Zone
Super built-up  Area,18-Mar,kothanur,2 BHK,,1075,2,2,53,Yelahanka Zone
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,MJinele,1163,2,2,62,Bommanahalli Zone
Built-up  Area,Ready To Move,tc palaya,2 Bedroom,,1200,2,0,65,Mahadevapura Zone
Plot  Area,Ready To Move,kattigenahalli,8 Bedroom,,1200,8,1,135,Yelahanka Zone
Plot  Area,Ready To Move,marathahalli,4 Bedroom,,3090,4,,325,Mahadevapura Zone
Built-up  Area,Ready To Move,hebbal,2 BHK,Prersis,1299,2,1,100,Yelahanka Zone
Built-up  Area,18-Dec,electronic city,2 BHK,,1130,2,1,32.63,Bommanahalli Zone
Super built-up  Area,Ready To Move,hrbr layout,2 BHK,,1170,2,2,75,East Zone
Super built-up  Area,18-Mar,jp nagar,3 BHK,Shestut,1750 - 2640,,,152,South Zone
Super built-up  Area,Ready To Move,yelahanka,4 BHK,NCs 2rj,2600,4,3,175,Yelahanka Zone
Super built-up  Area,Ready To Move,kr puram,2 BHK,LVniaar,1140,2,1,43.32,Mahadevapura Zone
Super built-up  Area,Ready To Move,kanakpura road,3 BHK,Goelsn,1900,3,3,125,South Zone
Built-up  Area,18-Jul,bommasandra industrial area,2 BHK,,1090,2,1,31.48,Outside BBMP Zones
Super built-up  Area,Ready To Move,electronic city,2 BHK,YCnce R,1110,2,1,39.95,Bommanahalli Zone
Super built-up  Area,18-Jan,nagavarapalya,1 BHK,PuonsSe,705,1,1,57,East Zone
Super built-up  Area,Ready To Move,hbr layout,2 BHK,Visom B,1089,2,1,60,East Zone
Plot  Area,Ready To Move,tc.palya,2 Bedroom,,880,2,1,48,Outside BBMP Zones
Built-up  Area,Ready To Move,kereguddadahalli,2 BHK,Jaood G,1080,2,2,32,Dasarahalli Zone
Super built-up  Area,18-Feb,thanisandra,2 BHK,Bhmesy,1093,2,1,68.1,Yelahanka Zone
Super built-up  Area,18-Oct,banashankari stage iii,3 BHK,,1480,3,1,75.48,South Zone
Super built-up  Area,Ready To Move,hegde nagar,3 BHK,Soiniy,1703,3,2,125,Yelahanka Zone
Super built-up  Area,Ready To Move,hebbal,2 BHK,Srntsha,1200,2,1,60,Yelahanka Zone
Super built-up  Area,Ready To Move,marathahalli,3 BHK,Asintas,1690,3,2,116,Mahadevapura Zone
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Shana S,1305,2,1,78,Yelahanka Zone
Super built-up  Area,18-Sep,talaghattapura,3 BHK,,1257,2,2,40.22,South Zone
Super built-up  Area,Ready To Move,subash nagar,2 BHK,,1150,2,2,45,West Zone
Super built-up  Area,Ready To Move,stage-4 bommanahalli,2 BHK,Pantsce,1194,2,0,55,Unknown
Built-up  Area,Ready To Move,chokkahalli,3 Bedroom,,2000,3,1,90,Outside BBMP Zones
Plot  Area,Ready To Move,anekal,3 Bedroom,,1500,4,1,99,Outside BBMP Zones
Built-up  Area,Ready To Move,bellari road,2 BHK,,1025,2,0,42.5,Yelahanka Zone
Built-up  Area,Ready To Move,horamavu agara,2 BHK,,980,2,1,38.19,Mahadevapura Zone
Plot  Area,Ready To Move,hosakerehalli,3 Bedroom,,1200,2,1,100,Rajarajeshwari Nagar Zone
Super built-up  Area,Ready To Move,whitefield,3 BHK,UKe 2nz,2225,3,1,149,Mahadevapura Zone
Super built-up  Area,Ready To Move,ashirvad colony,2 BHK,Oce 1nd,1022,2,2,57,Outside BBMP Zones
Plot  Area,Ready To Move,sidedahalli,4 Bedroom,,882,3,0,72,Dasarahalli Zone
Built-up  Area,Ready To Move,narayanapura,2 BHK,Shsom B,1153,2,2,45,Yelahanka Zone
Super built-up  Area,Ready To Move,pai layout,2 BHK,,1175,2,2,60,Mahadevapura Zone
Built-up  Area,Ready To Move,vidyaranyapura,3 BHK,Suent A,1560,3,3,68,Yelahanka Zone
Built-up  Area,Ready To Move,yelahanka new town,1 BHK,,650,1,1,17,Yelahanka Zone
Plot  Area,Ready To Move,vishwapriya nagar,3 Bedroom,,600,3,2,65,South Zone
Super built-up  Area,Ready To Move,billekahalli,2 BHK,BancyRe,1350,3,2,55,Bommanahalli Zone
Plot  Area,Ready To Move,akshya nagar,2 Bedroom,,1200,2,1,76,South Zone
Super built-up  Area,Ready To Move,telecom layout,2 BHK,,1200,1,1,54,South Zone
Super built-up  Area,Ready To Move,chandapura,2 BHK,Arhid O,800,2,1,25,Outside BBMP Zones
Super built-up  Area,20-Dec,electronic city,4 BHK,KonteiT,2093,4,1,104,Bommanahalli Zone
Super built-up  Area,18-Oct,uttarahalli,3 BHK,,1320,2,2,55.44,South Zone
Super built-up  Area,Ready To Move,bannerghatta road,2 BHK,SNity S,1275,2,1,73,South Zone
Super built-up  Area,Ready To Move,begur road,2 BHK,Dhalsh,1215,2,2,43.13,Bommanahalli Zone
Super built-up  Area,Ready To Move,kanakapura,2 BHK,,1130,2,1,45.2,South Zone
Super built-up  Area,Ready To Move,begur road,3 BHK,MJilayl,1444,2,2,71.5,Bommanahalli Zone
Super built-up  Area,Ready To Move,vikram nagar,2 BHK,Ranorar,950,2,2,38,Unknown
Super built-up  Area,Ready To Move,padmanabhanagar,2 BHK,,1000,1,,90,South Zone
Super built-up  Area,Ready To Move,banashankari stage ii,3 BHK,,1240,2,2,59.52,South Zone
Plot  Area,Ready To Move,2nd stage nagarbhavi,4 Bedroom,,600,4,2,125,Unknown
Super built-up  Area,Ready To Move,hennur,2 BHK,Adity T,1231,2,2,50,Yelahanka Zone
Super built-up  Area,Ready To Move,benson town,2 BHK,,1300,2,1,120,East Zone
Super built-up  Area,18-Aug,yeshwanthpur,3 BHK,Aroomba,1713,3,2,110,Dasarahalli Zone
Super built-up  Area,Ready To Move,kogilu,2 BHK,,1200,2,1,53.33,Yelahanka Zone
Built-up  Area,Ready To Move,sarjapur road,3 Bedroom,AztheBr,3004,4,,158,Bommanahalli Zone
Built-up  Area,Ready To Move,sonnenahalli,3 BHK,DSgam S,1310,2,0,46,Outside BBMP Zones
Super built-up  Area,Ready To Move,jalahalli,2 BHK,Kuownri,790,2,1,49.5,Dasarahalli Zone
Super built-up  Area,Ready To Move,koramangala,3 BHK,Proodt,1744,3,1,200,East Zone
Super built-up  Area,Ready To Move,amblipura,3 BHK,,1605,3,2,100,Bommanahalli Zone
Super built-up  Area,Ready To Move,whitefield,2 BHK,Gotis A,1250,2,2,82,Mahadevapura Zone
Super built-up  Area,Ready To Move,malleshwaram,3 BHK,Sariaat,2476,3,3,337,West Zone
Built-up  Area,Ready To Move,subramanyapura,3 BHK,Mayne A,1260,2,2,76,South Zone
Super built-up  Area,18-Aug,rajaji nagar,3 BHK,ProdsWe,1615,3,1,175,West Zone
Super built-up  Area,Ready To Move,yelahanka,2 BHK,,1180,2,1,56,Yelahanka Zone
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,,1255,2,2,50.19,South Zone
Super built-up  Area,Ready To Move,electronic city,2 BHK,GMown E,1025,2,1,53.9,Bommanahalli Zone
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Puallhi,1877,4,2,150,Bommanahalli Zone
Built-up  Area,Ready To Move,lakshminarayana pura,3 BHK,RothaVa,1649,3,2,150,West Zone
Plot  Area,Ready To Move,5th block hbr layout,9 Bedroom,,2600,12,,675,Unknown
Built-up  Area,Ready To Move,hennur,5 Bedroom,,2500,5,2,125,Yelahanka Zone
Built-up  Area,Ready To Move,doddakammanahalli,3 BHK,,1542,3,2,98,Outside BBMP Zones
Super built-up  Area,Ready To Move,thigalarapalya,2 BHK,Prtanha,1418,2,2,105,Mahadevapura Zone
Built-up  Area,Ready To Move,sarvabhouma nagar,2 BHK,BhncyRe,1012,2,0,42,South Zone
Plot  Area,Ready To Move,chandapura,2 Bedroom,,1200,2,1,65,Outside BBMP Zones
Super built-up  Area,Ready To Move,sarjapur road,2 BHK,,1115,2,2,43,Bommanahalli Zone
Super built-up  Area,Ready To Move,green glen layout,3 BHK,VVbhion,1680,4,3,95,Mahadevapura Zone
Super built-up  Area,Ready To Move,old madras road,2 BHK,Saesttt,1171,2,2,72,East Zone
Super built-up  Area,Ready To Move,tumkur road,2 BHK,Sahtsva,1027,2,1,68.62,Dasarahalli Zone
Super built-up  Area,Ready To Move,shampura,3 BHK,,1700,3,3,75,Yelahanka Zone
