area_type,availability,location,size,society,total_sqft,bath,balcony,price,zone_name,bhk,price_per_sqft
Super built-up  Area,Ready To Move,malleshwaram,3 BHK,Sariaat,2215.0,4.0,1.0,310.0,West Zone,3,13995.48532731377
Super built-up  Area,Ready To Move,marathahalli,3 BHK,Unknown,1730.0,3.0,3.0,110.0,Mahadevapura Zone,3,6358.381502890174
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,Srayai,1050.0,2.0,1.0,50.0,Unknown,2,4761.9047619047615
Super built-up  Area,Ready To Move,dasarahalli,3 BHK,Prndsde,2100.0,3.0,3.0,120.0,Dasarahalli Zone,3,5714.285714285715
Built-up  Area,Ready To Move,rayasandra,3 BHK,Unknown,1199.0,2.0,1.0,48.5,Bommanahalli Zone,3,4045.0375312760634
Plot  Area,Ready To Move,sbm colony,3 Bedroom,Unknown,1350.0,2.0,2.0,280.0,West Zone,3,20740.74074074074
Super built-up  Area,Ready To Move,vignana nagar,2 BHK,Unknown,1100.0,2.0,2.0,47.0,Mahadevapura Zone,2,4272.727272727273
Plot  Area,Ready To Move,udaya nagar,2 Bedroom,Unknown,1000.0,1.0,1.0,75.0,East Zone,2,7500.0
Built-up  Area,Ready To Move,electronics city phase 1,2 BHK,Solle V,940.0,2.0,2.0,49.0,Unknown,2,5212.765957446809
Built-up  Area,Ready To Move,btm 2nd stage,2 BHK,MaeamSu,1280.0,2.0,2.0,80.0,Unknown,2,6250.0
Super built-up  Area,Ready To Move,whitefield,4 BHK,Sulesil,2155.0,3.0,3.0,125.0,Mahadevapura Zone,4,5800.46403712297
Built-up  Area,Ready To Move,sarjapur road,5 Bedroom,Reyle L,3200.0,5.0,3.0,140.0,Bommanahalli Zone,5,4375.0
Super built-up  Area,Ready To Move,suraksha nagar,3 BHK,AritaFe,1388.0,3.0,3.0,69.99,Outside BBMP Zones,3,5042.50720461095
Super built-up  Area,Ready To Move,vgp layout,2 BHK,Vaurtar,1176.0,2.0,2.0,44.0,Outside BBMP Zones,2,3741.496598639456
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,Hemai D,1390.0,2.0,2.0,61.16,South Zone,3,4400.0
Plot  Area,Ready To Move,giri nagar,4 Bedroom,Unknown,2400.0,4.0,2.0,400.0,South Zone,4,16666.666666666668
Super built-up  Area,Ready To Move,sahakara nagar,2 BHK,Unknown,1160.0,2.0,1.0,55.0,Yelahanka Zone,2,4741.379310344828
Super built-up  Area,Ready To Move,seegehalli,4 BHK,Unknown,2800.0,4.0,3.0,140.0,Mahadevapura Zone,4,5000.0
Plot  Area,Ready To Move,5th block hbr layout,4 Bedroom,Unknown,1200.0,4.0,2.0,205.0,Unknown,4,17083.333333333332
Super built-up  Area,Ready To Move,marathahalli,3 BHK,PueraRi,1583.0,3.0,3.0,115.0,Mahadevapura Zone,3,7264.687302590019
Super built-up  Area,Ready To Move,jigani,3 BHK,DLhtsen,1252.0,3.0,2.0,63.0,Outside BBMP Zones,3,5031.948881789137
Built-up  Area,Ready To Move,rustam bagh layout,2 BHK,TealdEm,1170.0,2.0,2.0,86.0,East Zone,2,7350.427350427351
Built-up  Area,Ready To Move,bannerghatta road,3 BHK,Unknown,1350.0,2.0,2.0,51.0,South Zone,3,3777.777777777778
Super built-up  Area,Ready To Move,gottigere,2 BHK,HivanBr,1075.0,2.0,2.0,30.0,South Zone,2,2790.6976744186045
Built-up  Area,Ready To Move,hosa road,2 BHK,Unknown,972.0,2.0,2.0,40.0,Bommanahalli Zone,2,4115.22633744856
Plot  Area,Ready To Move,vaishnavi layout,4 Bedroom,Prsisge,4830.0,5.0,1.0,390.0,Outside BBMP Zones,4,8074.534161490683
Built-up  Area,Ready To Move,cottonpet,2 BHK,Unknown,850.0,2.0,1.0,75.0,West Zone,2,8823.529411764706
Super built-up  Area,Ready To Move,sarjapur road,4 BHK,Puallhi,2383.0,5.0,1.0,215.0,Bommanahalli Zone,4,9022.24087284935
Carpet  Area,Ready To Move,naganathapura,2 BHK,Malmsri,1103.0,2.0,1.0,55.0,Bommanahalli Zone,2,4986.400725294651
Super built-up  Area,Ready To Move,rayasandra,3 BHK,MJeusyl,1577.0,3.0,2.0,67.0,Bommanahalli Zone,3,4248.57324032974
Built-up  Area,Ready To Move,yelahanka,3 BHK,NCowsar,1465.0,3.0,2.0,80.01,Yelahanka Zone,3,5461.433447098977
Built-up  Area,Ready To Move,vimanapura,3 BHK,Inion P,1600.0,3.0,1.0,64.0,East Zone,3,4000.0
Built-up  Area,Ready To Move,uttarahalli,2 BHK,TGeepga,1090.0,2.0,2.0,45.0,South Zone,2,4128.440366972477
Built-up  Area,Ready To Move,seetharampalya,2 BHK,Unknown,1100.0,2.0,1.0,55.0,Mahadevapura Zone,2,5000.0
Super built-up  Area,Ready To Move,varthur,3 BHK,Vaensia,1450.0,3.0,2.0,71.0,Mahadevapura Zone,3,4896.551724137931
Super built-up  Area,Ready To Move,battarahalli,2 BHK,SraveHi,1071.0,2.0,1.0,62.0,Mahadevapura Zone,2,5788.9822595704945
Super built-up  Area,Ready To Move,old madras road,3 BHK,Saciatt,2266.0,3.0,2.0,169.0,East Zone,3,7458.075904677847
Super built-up  Area,Ready To Move,kundalahalli colony,3 BHK,Goourta,2065.0,3.0,2.0,130.0,Mahadevapura Zone,3,6295.399515738499
Built-up  Area,Ready To Move,kanakpura road,3 BHK,PuandHi,1800.0,3.0,2.0,90.0,South Zone,3,5000.0
Built-up  Area,Ready To Move,defence colony,2 BHK,Unknown,1150.0,2.0,2.0,125.0,Outside BBMP Zones,2,10869.565217391304
Super built-up  Area,Ready To Move,hormavu,2 BHK,ARureig,1123.0,2.0,1.0,56.0,Mahadevapura Zone,2,4986.642920747997
Super built-up  Area,Ready To Move,akshaya nagar,3 BHK,DLhtsnd,1884.0,3.0,3.0,98.0,Bommanahalli Zone,3,5201.698513800425
Super built-up  Area,Ready To Move,lakshminarayana pura,2 BHK,RothaVa,1145.0,2.0,1.0,75.0,West Zone,2,6550.218340611354
Super built-up  Area,Ready To Move,subramanyapura,2 BHK,Prldsri,950.0,2.0,1.0,55.0,South Zone,2,5789.473684210527
Super built-up  Area,Ready To Move,thomas town,2 BHK,TuiteIn,1250.0,2.0,2.0,59.0,East Zone,2,4720.0
Built-up  Area,Ready To Move,pragathi nagar,2 BHK,DStra S,1115.0,2.0,0.0,46.0,Outside BBMP Zones,2,4125.5605381165915
Super built-up  Area,Ready To Move,gollarapalya hosahalli,3 BHK,Mauner,1318.0,3.0,1.0,54.0,West Zone,3,4097.11684370258
Built-up  Area,Ready To Move,jp nagar,3 BHK,Unknown,3300.0,4.0,3.0,160.0,South Zone,3,4848.484848484848
Super built-up  Area,Ready To Move,kalyan nagar,2 BHK,Unknown,1280.0,2.0,1.0,48.0,East Zone,2,3750.0
Super built-up  Area,Ready To Move,whitefield,2 BHK,Unknown,1230.0,2.0,2.0,59.0,Mahadevapura Zone,2,4796.747967479675
Super built-up  Area,Ready To Move,raja rajeshwari nagar,3 BHK,Unknown,1420.0,2.0,2.0,60.0,Rajarajeshwari Nagar Zone,3,4225.352112676056
Built-up  Area,Ready To Move,kasavanhalli,3 Bedroom,Unknown,2111.0,4.0,3.0,120.0,Mahadevapura Zone,3,5684.509711037423
Super built-up  Area,Ready To Move,vidyaranyapura,2 BHK,Unknown,1100.0,2.0,1.0,54.0,Yelahanka Zone,2,4909.090909090909
Super built-up  Area,Ready To Move,harlur,3 BHK,Unknown,1750.0,3.0,2.0,136.0,Bommanahalli Zone,3,7771.428571428572
Built-up  Area,Ready To Move,rmv 2nd stage,3 BHK,Unknown,2550.0,4.0,2.0,290.0,Unknown,3,11372.549019607843
Super built-up  Area,Ready To Move,shampura,2 BHK,Unknown,700.0,1.0,2.0,35.0,Yelahanka Zone,2,5000.0
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,Unknown,1050.0,2.0,1.0,42.0,South Zone,2,4000.0
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,Ihnueut,1235.0,2.0,3.0,90.0,South Zone,2,7287.44939271255
Plot  Area,Ready To Move,yeshwanthpur,2 Bedroom,Pantym,1200.0,2.0,0.0,63.0,Dasarahalli Zone,2,5250.0
Super built-up  Area,Ready To Move,kengeri,2 BHK,Unknown,900.0,2.0,0.0,30.0,Rajarajeshwari Nagar Zone,2,3333.3333333333335
Super built-up  Area,Ready To Move,thanisandra,2 BHK,SLaceda,1146.0,2.0,1.0,38.0,Yelahanka Zone,2,3315.8813263525303
Plot  Area,Ready To Move,yeshwanthpur,4 Bedroom,Unknown,1200.0,4.0,1.0,110.0,Dasarahalli Zone,4,9166.666666666666
Super built-up  Area,Ready To Move,banashankari,1 BHK,Unknown,2400.0,1.0,1.0,200.0,South Zone,1,8333.333333333334
Built-up  Area,Ready To Move,devarachikkanahalli,1 BHK,Unknown,615.0,1.0,1.0,24.0,Bommanahalli Zone,1,3902.439024390244
Plot  Area,Ready To Move,rajaji nagar,5 Bedroom,Unknown,1538.0,5.0,2.0,300.0,West Zone,5,19505.85175552666
Super built-up  Area,Ready To Move,poorna pragna layout,3 BHK,Unknown,1355.0,2.0,3.0,58.25,Outside BBMP Zones,3,4298.89298892989
Built-up  Area,Ready To Move,venkatapura,4 BHK,ThBayah,3080.0,2.0,1.0,285.0,Bommanahalli Zone,4,9253.246753246753
Super built-up  Area,Ready To Move,kundalahalli,3 BHK,Unknown,1800.0,3.0,3.0,80.0,Mahadevapura Zone,3,4444.444444444444
Built-up  Area,Ready To Move,begur road,3 BHK,Dhalsh,1400.0,2.0,3.0,50.06,Bommanahalli Zone,3,3575.714285714286
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,Aklia R,1123.0,2.0,1.0,48.0,South Zone,2,4274.2653606411395
Plot  Area,Ready To Move,konanakunte,4 Bedroom,Unknown,1200.0,2.0,1.0,130.0,South Zone,4,10833.333333333334
Built-up  Area,Ready To Move,kengeri,2 BHK,UKanema,787.0,2.0,1.0,31.0,Rajarajeshwari Nagar Zone,2,3939.0088945362136
Super built-up  Area,Ready To Move,kambipura,3 BHK,Prrtht,1082.0,2.0,1.0,45.0,Rajarajeshwari Nagar Zone,3,4158.964879852126
Super built-up  Area,Ready To Move,seegehalli,2 BHK,Unknown,1096.0,2.0,1.0,41.0,Mahadevapura Zone,2,3740.875912408759
Plot  Area,Ready To Move,r.t. nagar,3 Bedroom,Unknown,1140.0,3.0,1.0,130.0,Yelahanka Zone,3,11403.508771929824
Carpet  Area,Ready To Move,venugopal reddy layout,2 BHK,Niiman,1130.0,2.0,1.0,52.0,Unknown,2,4601.769911504425
Super built-up  Area,Ready To Move,mahadevpura,2 BHK,Unknown,1058.0,2.0,2.0,85.0,Mahadevapura Zone,2,8034.026465028355
Built-up  Area,Ready To Move,hebbal,3 BHK,Cevely,1269.0,2.0,1.0,73.0,Yelahanka Zone,3,5752.561071710008
Plot  Area,Ready To Move,prithvi layout,3 Bedroom,Unknown,946.0,3.0,2.0,140.0,East Zone,3,14799.154334038056
Super built-up  Area,Ready To Move,4th block koramangala,4 BHK,Unknown,3400.0,6.0,2.0,420.0,Unknown,4,12352.941176470587
Super built-up  Area,Ready To Move,kothanur,3 BHK,Gilleon,1820.0,3.0,3.0,77.0,Yelahanka Zone,3,4230.7692307692305
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,Aklia R,1329.0,2.0,1.0,56.0,South Zone,3,4213.694507148231
Super built-up  Area,Ready To Move,kathriguppe,3 BHK,Unknown,1350.0,2.0,1.0,80.99,South Zone,3,5999.259259259258
Plot  Area,Ready To Move,nagarbhavi,4 Bedroom,Unknown,1250.0,3.0,0.0,175.0,West Zone,4,14000.0
Super built-up  Area,Ready To Move,whitefield,2 BHK,SSthamh,1205.0,2.0,1.0,40.0,Mahadevapura Zone,2,3319.5020746887967
Super built-up  Area,Ready To Move,kanakpura road,2 BHK,PuandHi,1339.0,2.0,2.0,71.5,South Zone,2,5339.805825242718
Super built-up  Area,Ready To Move,uttarahalli,2 BHK,Unknown,938.0,2.0,0.0,35.0,South Zone,2,3731.3432835820895
Super built-up  Area,Ready To Move,kuvempu nagar,1 BHK,Unknown,450.0,1.0,1.0,25.0,Unknown,1,5555.555555555556
Built-up  Area,Ready To Move,btm 2nd stage,2 BHK,Komesa,1100.0,2.0,2.0,70.0,Unknown,2,6363.636363636364
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Unknown,1060.0,2.0,1.0,40.0,Yelahanka Zone,2,3773.5849056603774
Super built-up  Area,Ready To Move,whitefield,2 BHK,Unknown,1125.0,2.0,2.0,40.0,Mahadevapura Zone,2,3555.5555555555557
Super built-up  Area,Ready To Move,bellandur,2 BHK,Unknown,1060.0,2.0,1.0,65.0,Mahadevapura Zone,2,6132.075471698113
Plot  Area,Ready To Move,anandapura,4 Bedroom,Unknown,1749.0,4.0,0.0,90.0,East Zone,4,5145.797598627787
Super built-up  Area,Ready To Move,sahakara nagar,3 BHK,Unknown,1200.0,2.0,2.0,75.0,Yelahanka Zone,3,6250.0
Super built-up  Area,Ready To Move,cleveland town,2 BHK,Lehidrc,1100.0,2.0,1.0,85.0,East Zone,2,7727.272727272727
Plot  Area,Ready To Move,gunjur,5 Bedroom,Chranya,6613.0,7.0,2.0,950.0,Mahadevapura Zone,5,14365.643429608348
Super built-up  Area,Ready To Move,hoodi,3 BHK,Goeur G,1925.0,3.0,3.0,110.0,Mahadevapura Zone,3,5714.285714285715
Built-up  Area,Ready To Move,kengeri,1 BHK,Unknown,502.0,1.0,1.0,25.0,Rajarajeshwari Nagar Zone,1,4980.0796812749
Built-up  Area,Ready To Move,bommenahalli,3 Bedroom,Prood G,3339.0,3.0,0.0,250.0,Bommanahalli Zone,3,7487.271638215035
Built-up  Area,Ready To Move,begur,3 BHK,Arhtsth,1475.0,2.0,2.0,74.0,Bommanahalli Zone,3,5016.949152542373
Super built-up  Area,Ready To Move,haralur road,2 BHK,NDionas,1300.0,2.0,2.0,75.0,Bommanahalli Zone,2,5769.2307692307695
Plot  Area,Ready To Move,bagalur main road,5 Bedroom,Unknown,4400.0,4.0,1.0,350.0,Yelahanka Zone,5,7954.545454545455
Super built-up  Area,Ready To Move,vittasandra,2 BHK,Unknown,1246.0,2.0,1.0,63.0,Bommanahalli Zone,2,5056.179775280899
Super built-up  Area,Ready To Move,begur road,3 BHK,Dhalsh,1410.0,2.0,3.0,53.58,Bommanahalli Zone,3,3800.0
Plot  Area,Ready To Move,varthur road,4 Bedroom,Unknown,1300.0,3.0,0.0,75.0,Mahadevapura Zone,4,5769.2307692307695
Super built-up  Area,Ready To Move,kanakpura road,2 BHK,PuandHi,1339.0,2.0,2.0,58.0,South Zone,2,4331.59073935773
Super built-up  Area,Ready To Move,channasandra,2 BHK,Unm 2El,1104.0,2.0,1.0,35.5,Mahadevapura Zone,2,3215.5797101449275
Built-up  Area,Ready To Move,sultan palaya,2 BHK,Unknown,900.0,2.0,2.0,45.0,Yelahanka Zone,2,5000.0
Built-up  Area,Ready To Move,3rd phase jp nagar,3 BHK,Shestth,1550.0,2.0,2.0,79.0,Unknown,3,5096.774193548387
Super built-up  Area,Ready To Move,basapura,3 BHK,Saavenc,1540.0,2.0,2.0,70.0,Bommanahalli Zone,3,4545.454545454545
Super built-up  Area,Ready To Move,hennur,2 BHK,Unknown,1255.0,2.0,1.0,54.5,Yelahanka Zone,2,4342.629482071713
Super built-up  Area,Ready To Move,jayanagar,2 BHK,Unknown,1036.0,2.0,2.0,110.0,South Zone,2,10617.760617760618
Super built-up  Area,Ready To Move,bannerghatta road,3 BHK,SNity S,1460.0,2.0,2.0,75.0,South Zone,3,5136.986301369863
Super built-up  Area,Ready To Move,devarachikkanahalli,2 BHK,Wiaysld,1230.0,2.0,1.0,58.0,Bommanahalli Zone,2,4715.447154471544
Built-up  Area,Ready To Move,kanakpura road,2 BHK,PuandHi,1340.0,2.0,2.0,60.0,South Zone,2,4477.611940298508
Built-up  Area,Ready To Move,yelenahalli,3 BHK,Unknown,1600.0,3.0,3.0,61.37,Bommanahalli Zone,3,3835.625
Super built-up  Area,Ready To Move,electronic city,2 BHK,Itvir M,919.0,2.0,2.0,40.0,Bommanahalli Zone,2,4352.557127312296
Super built-up  Area,Ready To Move,hosur road,3 BHK,UmrldDr,1733.0,2.0,3.0,85.0,Bommanahalli Zone,3,4904.789382573572
Super built-up  Area,Ready To Move,jigani,3 BHK,DLhtsan,1221.0,3.0,3.0,72.0,Outside BBMP Zones,3,5896.805896805897
Super built-up  Area,Ready To Move,kanakapura main road,2 BHK,Unknown,1041.0,2.0,1.0,36.44,South Zone,2,3500.480307396734
Built-up  Area,Ready To Move,ambalipura,4 BHK,SJodsed,2550.0,4.0,2.0,149.0,Mahadevapura Zone,4,5843.137254901961
Built-up  Area,Ready To Move,shampura,3 BHK,Unknown,1400.0,3.0,1.0,70.0,Yelahanka Zone,3,5000.0
Plot  Area,Ready To Move,anjanapura,1 Bedroom,Unknown,600.0,2.0,0.0,55.0,South Zone,1,9166.666666666666
Built-up  Area,Ready To Move,nagarbhavi,1 BHK,MaentNa,710.0,2.0,2.0,40.0,West Zone,1,5633.802816901409
Super built-up  Area,Ready To Move,thigalarapalya,4 BHK,Prtanha,3122.0,6.0,2.0,237.0,Mahadevapura Zone,4,7591.287636130685
Super built-up  Area,Ready To Move,akshaya nagar,3 BHK,HiahsLa,2061.0,3.0,3.0,175.0,Bommanahalli Zone,3,8491.02377486657
Plot  Area,Ready To Move,brookefield,5 Bedroom,Unknown,2400.0,5.0,2.0,325.0,Mahadevapura Zone,5,13541.666666666666
Super built-up  Area,Ready To Move,malleshwaram,7 BHK,Unknown,2425.0,7.0,3.0,140.0,West Zone,7,5773.19587628866
Super built-up  Area,Ready To Move,electronic city phase ii,2 BHK,Brods W,1031.0,2.0,1.0,55.0,Bommanahalli Zone,2,5334.62657613967
Super built-up  Area,Ready To Move,anjanapura,2 BHK,ACopsva,950.0,2.0,1.0,40.0,South Zone,2,4210.526315789473
Plot  Area,Ready To Move,nagaraja garden,4 Bedroom,Unknown,1376.0,4.0,1.0,156.0,Outside BBMP Zones,4,11337.209302325582
Super built-up  Area,Ready To Move,raja rajeshwari nagar,2 BHK,GrrvaGr,1303.0,2.0,2.0,44.17,Rajarajeshwari Nagar Zone,2,3389.869531849578
Super built-up  Area,Ready To Move,thigalarapalya,2 BHK,Prtanha,1418.0,2.0,2.0,105.0,Mahadevapura Zone,2,7404.795486600846
Plot  Area,Ready To Move,kengeri satellite town,2 Bedroom,Unknown,1200.0,2.0,1.0,65.0,Rajarajeshwari Nagar Zone,2,5416.666666666667
Super built-up  Area,Ready To Move,basavangudi,3 BHK,Unknown,1825.0,3.0,2.0,175.0,South Zone,3,9589.04109589041
Built-up  Area,Ready To Move,bannerghatta road,2 BHK,Bhhmi L,1015.0,2.0,0.0,48.0,South Zone,2,4729.064039408867
Carpet  Area,Ready To Move,mathikere,3 BHK,Unknown,1150.0,2.0,0.0,60.0,West Zone,3,5217.391304347826
Super built-up  Area,Ready To Move,singasandra,2 BHK,Priewhi,1010.0,2.0,1.0,40.0,Bommanahalli Zone,2,3960.3960396039606
Super built-up  Area,Ready To Move,reliaable tranquil layout,3 BHK,Sariana,1508.0,3.0,1.0,75.0,Bommanahalli Zone,3,4973.474801061008
Super built-up  Area,Ready To Move,7th phase jp nagar,2 BHK,BriumMi,1275.0,2.0,1.0,87.0,Unknown,2,6823.529411764706
Built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Kaiew L,1460.0,3.0,1.0,70.0,Unknown,3,4794.520547945205
Super built-up  Area,Ready To Move,old airport road,2 BHK,Unknown,946.0,2.0,2.0,58.0,East Zone,2,6131.0782241014795
Super built-up  Area,Ready To Move,vignana nagar,2 BHK,Alows M,1110.0,2.0,2.0,58.0,Mahadevapura Zone,2,5225.225225225226
Super built-up  Area,Ready To Move,hennur road,3 BHK,SaireSa,1832.0,3.0,1.0,125.0,Yelahanka Zone,3,6823.144104803493
Super built-up  Area,Ready To Move,thanisandra,3 BHK,Soitya,1564.0,3.0,1.0,104.0,Yelahanka Zone,3,6649.616368286445
Super built-up  Area,Ready To Move,9th phase jp nagar,2 BHK,Unknown,660.0,2.0,0.0,27.0,Unknown,2,4090.909090909091
Super built-up  Area,Ready To Move,sarjapur road,3 BHK,Asncywo,1700.0,3.0,1.0,95.0,Bommanahalli Zone,3,5588.235294117647
Super built-up  Area,Ready To Move,lottegolla halli,3 BHK,Unknown,1950.0,3.0,2.0,90.0,West Zone,3,4615.384615384615
Built-up  Area,Ready To Move,ardendale,4 BHK,AWharde,2800.0,4.0,2.0,140.0,Outside BBMP Zones,4,5000.0
Super built-up  Area,Ready To Move,hrbr layout,2 BHK,Srayatr,1265.0,2.0,1.0,78.0,East Zone,2,6166.00790513834
Built-up  Area,Ready To Move,attibele,2 BHK,Unknown,1200.0,2.0,2.0,42.0,Outside BBMP Zones,2,3500.0
Super built-up  Area,Ready To Move,chelekare,2 BHK,Goezell,1180.0,2.0,2.0,40.0,East Zone,2,3389.830508474576
Super built-up  Area,Ready To Move,amruthahalli,3 BHK,Unknown,1350.0,2.0,3.0,63.0,Yelahanka Zone,3,4666.666666666667
Super built-up  Area,Ready To Move,kodichikkanahalli,3 BHK,DiamiSa,1560.0,2.0,2.0,65.0,Bommanahalli Zone,3,4166.666666666667
Plot  Area,Ready To Move,8th block jayanagar,2 Bedroom,Unknown,2800.0,2.0,0.0,650.0,Unknown,2,23214.285714285714
Super built-up  Area,Ready To Move,vijayanagar,3 BHK,J axyGa,1300.0,2.0,2.0,75.0,West Zone,3,5769.2307692307695
Super built-up  Area,Ready To Move,marathahalli,3 BHK,Afncyad,1600.0,3.0,2.0,56.0,Mahadevapura Zone,3,3500.0
Super built-up  Area,Ready To Move,atmananda colony,2 BHK,Unknown,1127.0,2.0,2.0,55.0,South Zone,2,4880.212954747116
Super built-up  Area,Ready To Move,kengeri satellite town,2 BHK,Malowr,795.0,2.0,2.0,32.0,Rajarajeshwari Nagar Zone,2,4025.1572327044023
Super built-up  Area,Ready To Move,nagarbhavi,3 BHK,Unknown,1850.0,3.0,2.0,88.0,West Zone,3,4756.756756756757
Built-up  Area,Ready To Move,doopanahalli,3 BHK,KroneMo,1475.0,2.0,1.0,200.0,East Zone,3,13559.322033898305
Plot  Area,Ready To Move,baba nagar,3 Bedroom,Unknown,1200.0,3.0,3.0,96.25,Outside BBMP Zones,3,8020.833333333333
Super built-up  Area,Ready To Move,uttarahalli,3 BHK,Aklia R,1345.0,2.0,1.0,47.0,South Zone,3,3494.4237918215613
Super built-up  Area,Ready To Move,nagadevanahalli,3 BHK,Unknown,1250.0,2.0,2.0,65.0,Rajarajeshwari Nagar Zone,3,5200.0
Built-up  Area,Ready To Move,kanakpura road,3 BHK,JRrnauv,1260.0,3.0,3.0,63.58,South Zone,3,5046.0317460317465
Super built-up  Area,Ready To Move,horamavu agara,3 BHK,Unknown,1265.0,2.0,1.0,65.0,Mahadevapura Zone,3,5138.339920948617
Super built-up  Area,Ready To Move,hebbal kempapura,4 BHK,Unknown,3895.0,4.0,2.0,495.0,Yelahanka Zone,4,12708.600770218229
Built-up  Area,Ready To Move,varthur,2 BHK,Vaensia,1210.0,2.0,1.0,60.0,Mahadevapura Zone,2,4958.677685950413
Super built-up  Area,Ready To Move,kogilu,1 BHK,Unknown,700.0,1.0,1.0,30.84,Yelahanka Zone,1,4405.714285714285
Super built-up  Area,Ready To Move,byatarayanapura,4 BHK,Reeroce,2631.0,3.0,2.0,200.0,Yelahanka Zone,4,7601.672367920943
Super built-up  Area,Ready To Move,kothanur,2 BHK,Unknown,1145.0,2.0,2.0,56.0,Yelahanka Zone,2,4890.829694323144
Built-up  Area,Ready To Move,5th phase jp nagar,1 BHK,Shenshi,600.0,1.0,1.0,30.0,Unknown,1,5000.0
Plot  Area,Ready To Move,laggere,1 Bedroom,Unknown,1200.0,1.0,1.0,125.0,Dasarahalli Zone,1,10416.666666666666
Built-up  Area,Ready To Move,mahalakshmi puram,2 BHK,Unknown,830.0,2.0,1.0,60.0,West Zone,2,7228.915662650603
Super built-up  Area,Ready To Move,hsr layout,2 BHK,Ammesss,1009.0,2.0,2.0,56.0,Bommanahalli Zone,2,5550.049554013875
Super built-up  Area,Ready To Move,basavangudi,3 BHK,Soarkig,1800.0,3.0,2.0,195.0,South Zone,3,10833.333333333334
Super built-up  Area,Ready To Move,yelahanka,2 BHK,Niareum,1226.0,2.0,2.0,52.71,Yelahanka Zone,2,4299.347471451876
Super built-up  Area,Ready To Move,badrappa layout,2 BHK,Unknown,1500.0,2.0,2.0,88.0,Unknown,2,5866.666666666667
Super built-up  Area,Ready To Move,electronic city,2 BHK,Prarkun,1363.0,2.0,1.0,79.0,Bommanahalli Zone,2,5796.038151137197
Built-up  Area,Ready To Move,poorna pragna layout,3 Bedroom,Unknown,1400.0,2.0,1.0,240.0,Outside BBMP Zones,3,17142.85714285714
Built-up  Area,Ready To Move,hsr layout,4 Bedroom,Rocid P,2792.0,4.0,1.0,220.0,Bommanahalli Zone,4,7879.656160458453
Built-up  Area,Ready To Move,kammanahalli,1 Bedroom,Unknown,700.0,1.0,0.0,59.0,East Zone,1,8428.57142857143
Super built-up  Area,Ready To Move,kaval byrasandra,2 BHK,May 2ge,1060.0,2.0,2.0,42.0,East Zone,2,3962.264150943396
Built-up  Area,Ready To Move,marathahalli,2 BHK,Vantsra,1200.0,2.0,1.0,67.0,Mahadevapura Zone,2,5583.333333333333
Built-up  Area,Ready To Move,nagappa reddy layout,3 BHK,Ablmsol,1495.0,2.0,2.0,75.0,Outside BBMP Zones,3,5016.722408026756
Built-up  Area,Ready To Move,sanjay nagar,2 BHK,Unknown,1575.0,2.0,2.0,90.0,Yelahanka Zone,2,5714.285714285715
Built-up  Area,Ready To Move,rajaji nagar,2 BHK,Brway G,1440.0,2.0,2.0,170.0,West Zone,2,11805.555555555555
Built-up  Area,Ready To Move,kengeri,3 BHK,Akdorli,1470.0,3.0,3.0,50.0,Rajarajeshwari Nagar Zone,3,3401.360544217687
Super built-up  Area,Ready To Move,cooke town,3 BHK,Unknown,1500.0,3.0,3.0,95.0,East Zone,3,6333.333333333333
Built-up  Area,Ready To Move,btm layout,3 BHK,Myace P,1450.0,2.0,2.0,81.0,Bommanahalli Zone,3,5586.206896551724
Super built-up  Area,Ready To Move,hosur road,2 BHK,Unknown,1179.0,2.0,1.0,49.0,Bommanahalli Zone,2,4156.064461407973
Super built-up  Area,Ready To Move,7th phase jp nagar,3 BHK,Eladero,1650.0,3.0,2.0,110.0,Unknown,3,6666.666666666667
Super built-up  Area,Ready To Move,chandapura,3 BHK,Arhid O,1095.0,2.0,2.0,32.0,Outside BBMP Zones,3,2922.3744292237443
Super built-up  Area,Ready To Move,naganathapura,2 BHK,Malmsri,1143.0,2.0,1.0,62.0,Bommanahalli Zone,2,5424.321959755031
Super built-up  Area,Ready To Move,hebbal,2 BHK,Prersis,1349.0,2.0,1.0,97.8,Yelahanka Zone,2,7249.814677538918
Built-up  Area,Ready To Move,anjanapura,3 BHK,ACopsva,1280.0,2.0,2.0,45.0,South Zone,3,3515.625
Super built-up  Area,Ready To Move,malleshwaram,1 BHK,Unknown,480.0,1.0,1.0,60.0,West Zone,1,12500.0
Super built-up  Area,Ready To Move,doddakallasandra,3 BHK,Unknown,2493.0,3.0,2.0,115.0,South Zone,3,4612.916165262735
Super built-up  Area,Ready To Move,malleshwaram,2 BHK,PantsAp,1290.0,2.0,1.0,120.0,West Zone,2,9302.32558139535
Super built-up  Area,Ready To Move,electronic city,2 BHK,Elodsre,1156.0,2.0,2.0,42.0,Bommanahalli Zone,2,3633.2179930795846
